,amenity_type,coordinates,county
760,Parking,"(-98.48202697968757, 29.434999717376865)",Bexar
761,Parking,"(-98.49536684199018, 29.444995484349967)",Bexar
762,Parking,"(-98.49098216847051, 29.442255136679517)",Bexar
763,Parking,"(-98.49499725, 29.44342525)",Bexar
764,Parking,"(-98.46624595000002, 29.464778599999995)",Bexar
765,Parking,"(-98.53688978827186, 29.55434487566991)",Bexar
766,Parking,"(-98.49296719892739, 29.519434333713477)",Bexar
767,Parking,"(-98.57533398706201, 29.504796923652396)",Bexar
768,Parking,"(-98.48730497953774, 29.52174670896303)",Bexar
769,Parking,"(-98.48568659368274, 29.521704414994815)",Bexar
770,Parking,"(-98.48975445866965, 29.52174365442837)",Bexar
771,Parking,"(-98.48305556403619, 29.51912007150015)",Bexar
772,Parking,"(-98.50159612039158, 29.521630109792554)",Bexar
773,Parking,"(-98.48875275276464, 29.518318532468914)",Bexar
774,Parking,"(-98.49052275315938, 29.518656873803504)",Bexar
775,Parking,"(-98.49715159230874, 29.51927476840653)",Bexar
776,Parking,"(-98.49720796733146, 29.51738913014975)",Bexar
777,Parking,"(-98.50250022709858, 29.522416390127752)",Bexar
778,Parking,"(-98.50017228601482, 29.525129805625927)",Bexar
779,Parking,"(-98.5517285490657, 29.4914328826211)",Bexar
780,Parking,"(-98.55584453181201, 29.513159790319754)",Bexar
781,Parking,"(-98.46458933411068, 29.462987226365673)",Bexar
782,Parking,"(-98.46862062752227, 29.460629777370304)",Bexar
783,Parking,"(-98.5922651864311, 29.596388301249537)",Bexar
784,Parking,"(-98.48568046322015, 29.528067444752672)",Bexar
785,Parking,"(-98.48550528998265, 29.4587329144329)",Bexar
786,Parking,"(-98.49013299675434, 29.440402285217637)",Bexar
787,Parking,"(-98.57280082947847, 29.51024189476939)",Bexar
788,Parking,"(-98.49788479572392, 29.515822716476308)",Bexar
789,Parking,"(-98.46771635077606, 29.495462750328215)",Bexar
790,Parking,"(-98.70528420241955, 29.473990188028502)",Bexar
791,Parking,"(-98.4853077391003, 29.624315088417905)",Bexar
792,Parking,"(-98.48050371810324, 29.5064431596932)",Bexar
793,Parking,"(-98.49838364951208, 29.443853349977278)",Bexar
794,Restaurant,"(-98.435439, 29.3503098)",Bexar
795,Restaurant,"(-98.2997109, 29.3759439)",Bexar
796,Restaurant,"(-98.4521621, 29.3526558)",Bexar
797,Restaurant,"(-98.4513402, 29.3525247)",Bexar
798,Restaurant,"(-98.4596785, 29.3511354)",Bexar
799,Restaurant,"(-98.4599598, 29.3510967)",Bexar
800,Restaurant,"(-98.4606813, 29.350865)",Bexar
801,Restaurant,"(-98.4590538, 29.3803794)",Bexar
802,Restaurant,"(-98.43340457823344, 29.351176011733667)",Bexar
803,Restaurant,"(-98.40413894567038, 29.394415764771455)",Bexar
804,Restaurant,"(-98.24283585, 29.367111750000003)",Bexar
805,Restaurant,"(-98.44146860000001, 29.352355299999996)",Bexar
806,Restaurant,"(-98.4382142, 29.352363699999998)",Bexar
807,Restaurant,"(-98.4395346432802, 29.35234282501888)",Bexar
808,Restaurant,"(-98.43450448682816, 29.352224330854156)",Bexar
809,Restaurant,"(-98.44901294100057, 29.35352455267554)",Bexar
810,Restaurant,"(-98.4531691, 29.352935000000006)",Bexar
811,Restaurant,"(-98.44922034302553, 29.352535136493955)",Bexar
812,Restaurant,"(-98.44964662621321, 29.352561436982164)",Bexar
813,Restaurant,"(-98.39044616567918, 29.398778253421536)",Bexar
814,Restaurant,"(-98.39037843065715, 29.397645945419853)",Bexar
815,Restaurant,"(-98.45926208941916, 29.352179830093117)",Bexar
816,Restaurant,"(-98.40504935000001, 29.430311700000008)",Bexar
817,Restaurant,"(-98.40662446901955, 29.43235671827034)",Bexar
818,Restaurant,"(-98.4534024459259, 29.368971677238108)",Bexar
819,Restaurant,"(-98.45706992047373, 29.388373422432498)",Bexar
820,Restaurant,"(-98.43817526070882, 29.367723698070517)",Bexar
821,Restaurant,"(-98.44159775296484, 29.366670707468586)",Bexar
822,Restaurant,"(-98.40636900000001, 29.434683999999997)",Bexar
823,Restaurant,"(-98.40588124999998, 29.434713149999993)",Bexar
824,Restaurant,"(-98.46157594999998, 29.42608405)",Bexar
825,Restaurant,"(-98.4487004171121, 29.37499091128313)",Bexar
826,Restaurant,"(-98.4450215, 29.369955500000003)",Bexar
827,Restaurant,"(-98.44545413285931, 29.370415689976305)",Bexar
828,Restaurant,"(-98.44030994886853, 29.36553306412765)",Bexar
829,Restaurant,"(-98.43514138586004, 29.358185243270412)",Bexar
830,Restaurant,"(-98.44333942746746, 29.35296106125462)",Bexar
831,Restaurant,"(-98.43355876107375, 29.321633080010486)",Bexar
832,Restaurant,"(-98.4509723, 29.517902)",Bexar
833,Restaurant,"(-98.4499329, 29.5188455)",Bexar
834,Restaurant,"(-98.392355, 29.511366)",Bexar
835,Restaurant,"(-98.3906265, 29.5106266)",Bexar
836,Restaurant,"(-98.3922814, 29.5108125)",Bexar
837,Restaurant,"(-98.4585554, 29.4907903)",Bexar
838,Restaurant,"(-98.3617241, 29.446312)",Bexar
839,Restaurant,"(-98.3615266, 29.4431429)",Bexar
840,Restaurant,"(-98.384724, 29.5106587)",Bexar
841,Restaurant,"(-98.3100295, 29.5805559)",Bexar
842,Restaurant,"(-98.4481684, 29.6507383)",Bexar
843,Restaurant,"(-98.4609205, 29.5159011)",Bexar
844,Restaurant,"(-98.4611916, 29.515017)",Bexar
845,Restaurant,"(-98.4576969, 29.5185749)",Bexar
846,Restaurant,"(-98.4602303, 29.5181756)",Bexar
847,Restaurant,"(-98.458037, 29.516985)",Bexar
848,Restaurant,"(-98.456693, 29.5167909)",Bexar
849,Restaurant,"(-98.448448, 29.4863815)",Bexar
850,Restaurant,"(-98.4481708, 29.4865921)",Bexar
851,Restaurant,"(-98.3933369, 29.5405144)",Bexar
852,Restaurant,"(-98.4439976, 29.6037221)",Bexar
853,Restaurant,"(-98.4045654, 29.5977887)",Bexar
854,Restaurant,"(-98.4479759, 29.4876934)",Bexar
855,Restaurant,"(-98.2863868, 29.5456585)",Bexar
856,Restaurant,"(-98.3253213, 29.5758938)",Bexar
857,Restaurant,"(-98.3147932, 29.5547881)",Bexar
858,Restaurant,"(-98.4197075, 29.5009203)",Bexar
859,Restaurant,"(-98.4133449, 29.4843083)",Bexar
860,Restaurant,"(-98.4219146, 29.5952763)",Bexar
861,Restaurant,"(-98.4192716, 29.5961815)",Bexar
862,Restaurant,"(-98.4200968, 29.5988315)",Bexar
863,Restaurant,"(-98.3589669, 29.4673988)",Bexar
864,Restaurant,"(-98.4319946, 29.4926201)",Bexar
865,Restaurant,"(-98.32802229970814, 29.56292426661596)",Bexar
866,Restaurant,"(-98.32324695219982, 29.57524781680451)",Bexar
867,Restaurant,"(-98.32909985, 29.56399960000001)",Bexar
